id,title,requires_geo_logic,reasoning,regulations
21,Age-specific notification controls with ASL,null,"The Age-specific notification controls with ASL (Age-sensitive logic) feature is likely required by the EU Digital Services Act due to its focus on minors protections, transparency, and user choice around recommender parameters. The Utah Social Media Regulation Act and Florida Online Protections also mention parental consent and oversight tools for minors, but there's no clear indication of a legal obligation.",
22,Chat content restrictions via LCP,false,"The feature involves enforcing message content constraints by injecting local compliance policy rules, which is related to the EU Digital Services Act (DSA) concerning minors protections and recommender systems risks.",dsa
23,Video upload limits for new users,null,The feature involves video upload limits for new users with no clear legal obligation or safety cue that would necessitate geo-specific regulation.,dsa
24,Flag escalation flow for sensitive comments,null,"The feature involves mandatory reporting of child sexual abuse material (CSAM) to NCMEC CyberTipline, which is a legal obligation under US federal law. This regulation does not apply to other regions and is specific to the United States.",us_ncmec_reporting
25,User behavior scoring for policy gating,null,The feature involves user behavior scoring for policy gating which aligns with Florida's Online Protections for Minors regulation as it deals with age verification and parental involvement.,florida_online_protections
26,Minor-safe chat expansion via Jellybean,false,"The retrieved regulations focus on minors protections and parental involvement, which aligns with the feature targeting users flagged by Jellybean (likely for parental control). The evidence points to Florida Online Protections and Utah Social Media Regulation Act, both of which have provisions related to minors.",florida_online_protections
27,Friend suggestions with underage safeguards,false,"The feature involves excluding minors from adult pools using ASL (Age-sensitive logic) and CDS (Compliance Detection System) logic, which suggests a need to comply with regulations related to protecting minors. The evidence points towards the EU Digital Services Act (DSA), Florida Online Protections for Minors, and California Kids Act.",dsa
28,Reaction GIFs with embedded filtering,null,"The feature is applicable to minors in Utah, Florida, and California based on the social media regulation acts for these states.",california_kids_act
29,Longform posts with age-based moderation,null,"The evidence points to age-based moderation for minors, which is relevant to California’s Kids Act and Florida's Online Protections. These regulations are specific to the state-level policies aimed at protecting minors.",california_kids_act
30,Custom avatar system with identity checks,null,"The custom avatar system with identity checks is likely to trigger age-sensitive logic due to the EU Digital Services Act (DSA) which focuses on minors protections, transparency, and user choice around recommender parameters. This regulation applies specifically to large online platforms serving EU users.",dsa
